id	isMarine	isFreshwater	isTerrestrial
urn:lsid:catalogueoflife.org:taxon:3b8830c5-5e17-11e7-8cee-bc764e092680:col20170724	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4f121148-5e17-11e7-8cee-bc764e092680:col20170724	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:3b882c67-5e17-11e7-8cee-bc764e092680:col20170724	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4f1a1783-5e17-11e7-8cee-bc764e092680:col20170724	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4f1a9e98-5e17-11e7-8cee-bc764e092680:col20170724	FALSO	FALSO	VERDADERO
gbif.org/species/2433287	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4f1a1f9d-5e17-11e7-8cee-bc764e092680:col20170724	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:3b882652-5e17-11e7-8cee-bc764e092680:col20170724	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4f1a211f-5e17-11e7-8cee-bc764e092680:col20170724	FALSO	FALSO	VERDADERO
gbif.org/species/2433285	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4f1a28a7-5e17-11e7-8cee-bc764e092680:col20170724	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:3b88238a-5e17-11e7-8cee-bc764e092680:col20170724	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4f1a2bb3-5e17-11e7-8cee-bc764e092680:col20170724	FALSO	FALSO	VERDADERO
urn:lsid:catalogueoflife.org:taxon:4f1a2d4f-5e17-11e7-8cee-bc764e092680:col20170724	FALSO	FALSO	VERDADERO
